"studyName","Date","Chlorophyll a (µg/l)"
"PAL-LTER Derived Datasets",1999-09-20,0.269211012
"PAL-LTER Derived Datasets",1999-09-27,0.379511196
"PAL-LTER Derived Datasets",1999-09-27,0.375826621
"PAL-LTER Derived Datasets",1999-10-04,0.165492322
"PAL-LTER Derived Datasets",1999-10-04,0.158628585
"PAL-LTER Derived Datasets",1999-10-10,0.300479146
"PAL-LTER Derived Datasets",1999-10-10,0.301623102
"PAL-LTER Derived Datasets",1999-10-17,0.379511196
"PAL-LTER Derived Datasets",1999-10-17,0.379511196
"PAL-LTER Derived Datasets",1999-10-24,0.324242575
"PAL-LTER Derived Datasets",1999-10-24,0.320558001
"PAL-LTER Derived Datasets",1999-10-31,1.351354624
"PAL-LTER Derived Datasets",1999-11-01,0.460866606
"PAL-LTER Derived Datasets",1999-11-01,0.425715763
"PAL-LTER Derived Datasets",1999-11-04,0.867054123
"PAL-LTER Derived Datasets",1999-11-04,0.847525877
"PAL-LTER Derived Datasets",1999-11-04,1.581787927
"PAL-LTER Derived Datasets",1999-11-08,2.175446606
"PAL-LTER Derived Datasets",1999-12-02,1.886502256
"PAL-LTER Derived Datasets",1999-12-02,1.83491821
"PAL-LTER Derived Datasets",1999-12-06,1.70227352
"PAL-LTER Derived Datasets",1999-12-06,1.6470049
"PAL-LTER Derived Datasets",1999-12-17,2.39510195
"PAL-LTER Derived Datasets",1999-12-17,2.265820879
"PAL-LTER Derived Datasets",1999-12-24,2.109
"PAL-LTER Derived Datasets",1999-12-24,2.075
"PAL-LTER Derived Datasets",2000-01-02,0.518902628
"PAL-LTER Derived Datasets",2000-01-02,0.543482226
"PAL-LTER Derived Datasets",2000-01-15,1.337948747
"PAL-LTER Derived Datasets",2000-01-15,1.385449886
"PAL-LTER Derived Datasets",2000-02-02,3.477
"PAL-LTER Derived Datasets",2000-02-07,2.468
"PAL-LTER Derived Datasets",2000-02-10,3.309
"PAL-LTER Derived Datasets",2000-02-19,2.251
"PAL-LTER Derived Datasets",2000-02-21,1.29308656
"PAL-LTER Derived Datasets",2000-02-21,1.425034169
"PAL-LTER Derived Datasets",2000-03-02,2.810484055
"PAL-LTER Derived Datasets",2000-03-02,2.704925968
"PAL-LTER Derived Datasets",2000-03-12,1.147944191
"PAL-LTER Derived Datasets",2000-03-12,1.227112756
"PAL-LTER Derived Datasets",2000-03-16,0.338652241
"PAL-LTER Derived Datasets",2000-03-16,0.34684544
"PAL-LTER Derived Datasets",2000-03-23,0.24002032
"PAL-LTER Derived Datasets",2000-03-23,0.251541296
"PAL-LTER Derived Datasets",2000-03-31,0.85447234
"PAL-LTER Derived Datasets",2000-03-31,0.831430389
"PAL-LTER Derived Datasets",2000-04-09,0.538662468
"PAL-LTER Derived Datasets",2000-04-09,0.55549567
"PAL-LTER Derived Datasets",2000-04-14,0.305968203
"PAL-LTER Derived Datasets",2000-04-14,0.305968203
"PAL-LTER Derived Datasets",2000-04-21,0.356467809
"PAL-LTER Derived Datasets",2000-04-21,0.413898734
"PAL-LTER Derived Datasets",2000-04-28,0.399045909
"PAL-LTER Derived Datasets",2000-04-28,0.39211459
"PAL-LTER Derived Datasets",2000-05-05,0.38617346
"PAL-LTER Derived Datasets",2000-05-05,0.413898734
"PAL-LTER Derived Datasets",2000-05-15,0.290125189
"PAL-LTER Derived Datasets",2000-05-15,0.301017261
"PAL-LTER Derived Datasets",2000-05-19,0.276262552
"PAL-LTER Derived Datasets",2000-05-19,0.310919145
"PAL-LTER Derived Datasets",2000-05-26,0.213880686
"PAL-LTER Derived Datasets",2000-05-26,0.220812004
"PAL-LTER Derived Datasets",2000-06-02,0.260419539
"PAL-LTER Derived Datasets",2000-06-02,0.248537278
"PAL-LTER Derived Datasets",2000-06-09,0.163381079
"PAL-LTER Derived Datasets",2000-06-09,0.163381079
"PAL-LTER Derived Datasets",2000-06-16,0.182194658
"PAL-LTER Derived Datasets",2000-06-16,0.179224093
"PAL-LTER Derived Datasets",2000-06-23,0.07228375
"PAL-LTER Derived Datasets",2000-06-23,0.104959966
"PAL-LTER Derived Datasets",2000-06-30,0.109910908
"PAL-LTER Derived Datasets",2000-06-30,0.106940343
"PAL-LTER Derived Datasets",2000-07-07,0.103969778
"PAL-LTER Derived Datasets",2000-07-07,0.107930531
"PAL-LTER Derived Datasets",2000-07-14,0.082185634
"PAL-LTER Derived Datasets",2000-07-14,0.087136576
"PAL-LTER Derived Datasets",2000-07-21,0.097038459
"PAL-LTER Derived Datasets",2000-07-21,0.100999213
"PAL-LTER Derived Datasets",2000-07-28,0.134665617
"PAL-LTER Derived Datasets",2000-07-28,0.123773545
"PAL-LTER Derived Datasets",2000-08-04,0.122783357
"PAL-LTER Derived Datasets",2000-08-04,0.141596935
"PAL-LTER Derived Datasets",2000-08-11,0.174273151
"PAL-LTER Derived Datasets",2000-08-11,0.17526334
"PAL-LTER Derived Datasets",2000-08-18,0.163381079
"PAL-LTER Derived Datasets",2000-08-18,0.166351644
"PAL-LTER Derived Datasets",2000-08-25,0.182194658
"PAL-LTER Derived Datasets",2000-08-25,0.213880686
"PAL-LTER Derived Datasets",2000-09-01,0.225762946
"PAL-LTER Derived Datasets",2000-09-01,0.222792381
"PAL-LTER Derived Datasets",2000-09-11,0.419839864
"PAL-LTER Derived Datasets",2000-09-11,0.39211459
"PAL-LTER Derived Datasets",2000-09-15,0.510937193
"PAL-LTER Derived Datasets",2000-09-15,0.445584762
"PAL-LTER Derived Datasets",2000-09-22,0.377261765
"PAL-LTER Derived Datasets",2000-09-22,0.371320635
"PAL-LTER Derived Datasets",2000-09-29,0.648573375
"PAL-LTER Derived Datasets",2000-09-29,0.666396766
"PAL-LTER Derived Datasets",2000-10-06,0.552525105
"PAL-LTER Derived Datasets",2000-10-06,0.565397553
"PAL-LTER Derived Datasets",2000-10-16,5.351778931
"PAL-LTER Derived Datasets",2000-10-16,5.930889338
"PAL-LTER Derived Datasets",2000-10-26,49.19922053
"PAL-LTER Derived Datasets",2000-10-26,48.09557804
"PAL-LTER Derived Datasets",2000-11-07,3.988602687
"PAL-LTER Derived Datasets",2000-11-07,4.143499879
"PAL-LTER Derived Datasets",2000-11-20,1.31915168
"PAL-LTER Derived Datasets",2000-11-20,1.31915168
"PAL-LTER Derived Datasets",2000-12-02,2.24600928
"PAL-LTER Derived Datasets",2000-12-02,2.400906472
"PAL-LTER Derived Datasets",2000-12-18,0.902476404
"PAL-LTER Derived Datasets",2000-12-18,0.933199005
"PAL-LTER Derived Datasets",2000-12-27,3.349651771
"PAL-LTER Derived Datasets",2000-12-27,3.872429794
"PAL-LTER Derived Datasets",2001-01-04,37.45026853
"PAL-LTER Derived Datasets",2001-01-04,37.02042883
"PAL-LTER Derived Datasets",2001-01-11,6.602492798
"PAL-LTER Derived Datasets",2001-01-11,6.5637685
"PAL-LTER Derived Datasets",2001-01-25,2.478355068
"PAL-LTER Derived Datasets",2001-01-25,2.458992919
"PAL-LTER Derived Datasets",2001-02-02,0.948560306
"PAL-LTER Derived Datasets",2001-02-02,0.835270714
"PAL-LTER Derived Datasets",2001-02-12,1.552844347
"PAL-LTER Derived Datasets",2001-02-12,1.723231258
"PAL-LTER Derived Datasets",2001-02-19,2.555803664
"PAL-LTER Derived Datasets",2001-02-19,2.517079366
"PAL-LTER Derived Datasets",2001-02-28,2.517079366
"PAL-LTER Derived Datasets",2001-02-28,3.00113309
"PAL-LTER Derived Datasets",2001-03-05,1.858766301
"PAL-LTER Derived Datasets",2001-03-05,1.87812845
"PAL-LTER Derived Datasets",2001-03-12,0.965841769
"PAL-LTER Derived Datasets",2001-03-12,0.925518355
"PAL-LTER Derived Datasets",2001-03-19,1.665144811
"PAL-LTER Derived Datasets",2001-03-19,1.839404152
"PAL-LTER Derived Datasets",2001-03-26,0.896715916
"PAL-LTER Derived Datasets",2001-03-26,1.029207133
"PAL-LTER Derived Datasets",2001-04-02,1.05148568
"PAL-LTER Derived Datasets",2001-04-02,1.107171838
"PAL-LTER Derived Datasets",2001-04-10,1.287332936
"PAL-LTER Derived Datasets",2001-04-10,1.261127685
"PAL-LTER Derived Datasets",2001-04-16,1.3929375
"PAL-LTER Derived Datasets",2001-04-16,1.436196429
"PAL-LTER Derived Datasets",2001-04-24,0.562366071
"PAL-LTER Derived Datasets",2001-04-24,0.588321429
"PAL-LTER Derived Datasets",2001-05-01,0.331566613
"PAL-LTER Derived Datasets",2001-05-01,0.295206827
"PAL-LTER Derived Datasets",2001-05-09,0.242398568
"PAL-LTER Derived Datasets",2001-05-09,0.259712751
"PAL-LTER Derived Datasets",2001-05-17,0.163619033
"PAL-LTER Derived Datasets",2001-05-17,0.164484743
"PAL-LTER Derived Datasets",2001-05-24,0.157559069
"PAL-LTER Derived Datasets",2001-05-24,0.151499105
"PAL-LTER Derived Datasets",2001-06-04,0.122064993
"PAL-LTER Derived Datasets",2001-06-04,0.127259248
"PAL-LTER Derived Datasets",2001-06-11,0.048479714
"PAL-LTER Derived Datasets",2001-06-11,0.099556555
"PAL-LTER Derived Datasets",2001-06-20,0.211233038
"PAL-LTER Derived Datasets",2001-06-20,0.217293002
"PAL-LTER Derived Datasets",2001-06-26,0.12165664
"PAL-LTER Derived Datasets",2001-06-26,0.119369861
"PAL-LTER Derived Datasets",2001-07-04,0.052595916
"PAL-LTER Derived Datasets",2001-07-04,0.048479714
"PAL-LTER Derived Datasets",2001-07-11,0.120284572
"PAL-LTER Derived Datasets",2001-07-11,0.145439141
"PAL-LTER Derived Datasets",2001-07-18,0.040247309
"PAL-LTER Derived Datasets",2001-07-18,0.031557549
"PAL-LTER Derived Datasets",2001-07-25,0.079579907
"PAL-LTER Derived Datasets",2001-07-25,0.077750484
"PAL-LTER Derived Datasets",2001-08-01,0.056712118
"PAL-LTER Derived Datasets",2001-08-01,0.062657743
"PAL-LTER Derived Datasets",2001-08-08,0.101075629
"PAL-LTER Derived Datasets",2001-08-08,0.096502071
"PAL-LTER Derived Datasets",2001-08-15,0.081866686
"PAL-LTER Derived Datasets",2001-08-15,0.081866686
"PAL-LTER Derived Datasets",2001-08-22,0.131261111
"PAL-LTER Derived Datasets",2001-08-22,0.1303464
"PAL-LTER Derived Datasets",2001-08-29,0.153671545
"PAL-LTER Derived Datasets",2001-08-29,0.134462602
"PAL-LTER Derived Datasets",2001-09-07,0.176081979
"PAL-LTER Derived Datasets",2001-09-07,0.170593709
"PAL-LTER Derived Datasets",2001-09-13,0.181570248
"PAL-LTER Derived Datasets",2001-09-13,0.17265181
"PAL-LTER Derived Datasets",2001-09-19,0.214957221
"PAL-LTER Derived Datasets",2001-09-19,0.205810105
"PAL-LTER Derived Datasets",2001-09-26,0.228677894
"PAL-LTER Derived Datasets",2001-09-26,0.240569145
"PAL-LTER Derived Datasets",2001-10-06,0.219988134
"PAL-LTER Derived Datasets",2001-10-06,0.22593376
"PAL-LTER Derived Datasets",2001-10-20,0.187515873
"PAL-LTER Derived Datasets",2001-10-20,0.210841019
"PAL-LTER Derived Datasets",2001-10-24,0.145896497
"PAL-LTER Derived Datasets",2001-10-24,0.150012699
"PAL-LTER Derived Datasets",2001-10-24,0.154128901
"PAL-LTER Derived Datasets",2001-10-28,0.204438038
"PAL-LTER Derived Datasets",2001-10-29,0.193004143
"PAL-LTER Derived Datasets",2001-11-02,0.244685347
"PAL-LTER Derived Datasets",2001-11-02,0.283560589
"PAL-LTER Derived Datasets",2001-11-02,0.315382075
"PAL-LTER Derived Datasets",2001-11-06,0.102153682
"PAL-LTER Derived Datasets",2001-11-06,0.103019391
"PAL-LTER Derived Datasets",2001-11-06,0.190575426
"PAL-LTER Derived Datasets",2001-11-08,0.180933217
"PAL-LTER Derived Datasets",2001-11-15,0.348015087
"PAL-LTER Derived Datasets",2001-11-21,0.552322451
"PAL-LTER Derived Datasets",2001-11-21,0.210367329
"PAL-LTER Derived Datasets",2001-11-22,8.392232143
"PAL-LTER Derived Datasets",2001-11-22,3.37212
"PAL-LTER Derived Datasets",2001-11-22,3.4884
"PAL-LTER Derived Datasets",2001-11-22,8.201892857
"PAL-LTER Derived Datasets",2001-11-24,0.93
"PAL-LTER Derived Datasets",2001-11-26,1.56
"PAL-LTER Derived Datasets",2001-11-30,2.99
"PAL-LTER Derived Datasets",2001-12-04,2.53
"PAL-LTER Derived Datasets",2001-12-09,4.48
"PAL-LTER Derived Datasets",2001-12-15,5.66
"PAL-LTER Derived Datasets",2001-12-18,6.58
"PAL-LTER Derived Datasets",2001-12-22,7.38
"PAL-LTER Derived Datasets",2001-12-25,11.92
"PAL-LTER Derived Datasets",2001-12-28,12.57
"PAL-LTER Derived Datasets",2002-01-01,2.01710237
"PAL-LTER Derived Datasets",2002-01-01,1.799571429
"PAL-LTER Derived Datasets",2002-01-01,10.90125
"PAL-LTER Derived Datasets",2002-01-01,10.20910714
"PAL-LTER Derived Datasets",2002-01-02,18.16875
"PAL-LTER Derived Datasets",2002-01-02,13.23723214
"PAL-LTER Derived Datasets",2002-01-31,13.45
"PAL-LTER Derived Datasets",2002-02-03,21.13
"PAL-LTER Derived Datasets",2002-02-06,30.61
"PAL-LTER Derived Datasets",2002-02-10,9.18
"PAL-LTER Derived Datasets",2002-02-12,16.04
"PAL-LTER Derived Datasets",2002-02-15,7.91
"PAL-LTER Derived Datasets",2002-02-19,9.7
"PAL-LTER Derived Datasets",2002-02-21,15.33
"PAL-LTER Derived Datasets",2002-02-26,8.66
"PAL-LTER Derived Datasets",2002-03-01,5.27
"PAL-LTER Derived Datasets",2002-03-04,4.8
"PAL-LTER Derived Datasets",2002-03-07,6.44
"PAL-LTER Derived Datasets",2002-03-11,5.2
"PAL-LTER Derived Datasets",2002-03-14,1.34
"PAL-LTER Derived Datasets",2002-03-18,1.441082462
"PAL-LTER Derived Datasets",2002-03-18,1.084178862
"PAL-LTER Derived Datasets",2002-03-24,1.852360608
"PAL-LTER Derived Datasets",2002-03-24,1.251403922
"PAL-LTER Derived Datasets",2002-04-01,0.782672189
"PAL-LTER Derived Datasets",2002-04-01,0.768441786
"PAL-LTER Derived Datasets",2002-04-08,0.402008897
"PAL-LTER Derived Datasets",2002-04-08,0.384220893
"PAL-LTER Derived Datasets",2002-04-14,0.33085688
"PAL-LTER Derived Datasets",2002-04-14,0.295280871
"PAL-LTER Derived Datasets",2002-04-22,0.281050468
"PAL-LTER Derived Datasets",2002-04-22,0.266820064
"PAL-LTER Derived Datasets",2002-04-25,0.123726376
"PAL-LTER Derived Datasets",2002-04-25,0.117363306
"PAL-LTER Derived Datasets",2002-04-29,0.270377665
"PAL-LTER Derived Datasets",2002-04-29,0.266820064
"PAL-LTER Derived Datasets",2002-05-06,0.143169093
"PAL-LTER Derived Datasets",2002-05-06,0.142462085
"PAL-LTER Derived Datasets",2002-05-13,0.109939723
"PAL-LTER Derived Datasets",2002-05-13,0.108172203
"PAL-LTER Derived Datasets",2002-05-20,0.111707243
"PAL-LTER Derived Datasets",2002-05-20,0.115595786
"PAL-LTER Derived Datasets",2002-06-03,0.073528818
"PAL-LTER Derived Datasets",2002-06-03,0.07105429
"PAL-LTER Derived Datasets",2002-06-10,0.058681653
"PAL-LTER Derived Datasets",2002-06-10,0.077417361
"PAL-LTER Derived Datasets",2002-06-17,0.065044724
"PAL-LTER Derived Datasets",2002-06-17,0.059035157
"PAL-LTER Derived Datasets",2002-06-21,0.027573307
"PAL-LTER Derived Datasets",2002-06-21,0.025805787
"PAL-LTER Derived Datasets",2002-06-24,0.049844055
"PAL-LTER Derived Datasets",2002-06-24,0.050551062
"PAL-LTER Derived Datasets",2002-07-01,0.032168858
"PAL-LTER Derived Datasets",2002-07-01,0.045248503
"PAL-LTER Derived Datasets",2002-07-08,0.035350393
"PAL-LTER Derived Datasets",2002-07-08,0.041006456
"PAL-LTER Derived Datasets",2002-07-15,0.036410905
"PAL-LTER Derived Datasets",2002-07-15,0.03959244
"PAL-LTER Derived Datasets",2002-07-29,0.037117913
"PAL-LTER Derived Datasets",2002-07-29,0.036410905
"PAL-LTER Derived Datasets",2002-08-06,0.046662519
"PAL-LTER Derived Datasets",2002-08-06,0.052318582
"PAL-LTER Derived Datasets",2002-08-12,0.032875866
"PAL-LTER Derived Datasets",2002-08-12,0.042066968
"PAL-LTER Derived Datasets",2002-08-19,0.066812243
"PAL-LTER Derived Datasets",2002-08-19,0.07282181
"PAL-LTER Derived Datasets",2002-08-25,0.067165747
"PAL-LTER Derived Datasets",2002-08-25,0.059742165
"PAL-LTER Derived Datasets",2002-09-02,0.072468306
"PAL-LTER Derived Datasets",2002-09-02,0.07105429
"PAL-LTER Derived Datasets",2002-09-09,0.100395117
"PAL-LTER Derived Datasets",2002-09-09,0.103930156
"PAL-LTER Derived Datasets",2002-09-16,0.179226494
"PAL-LTER Derived Datasets",2002-09-16,0.17710547
"PAL-LTER Derived Datasets",2002-09-23,0.99257064
"PAL-LTER Derived Datasets",2002-09-23,0.480276116
"PAL-LTER Derived Datasets",2002-09-30,0.391336094
"PAL-LTER Derived Datasets",2002-09-30,0.391336094
"PAL-LTER Derived Datasets",2002-10-07,0.334414481
"PAL-LTER Derived Datasets",2002-10-07,0.272867986
"PAL-LTER Derived Datasets",2002-10-14,0.29172327
"PAL-LTER Derived Datasets",2002-10-14,0.272156466
"PAL-LTER Derived Datasets",2002-11-05,1.618279574
"PAL-LTER Derived Datasets",2002-11-18,6.739738229
"PAL-LTER Derived Datasets",2002-11-21,6.610637424
"PAL-LTER Derived Datasets",2002-11-25,5.152585005
"PAL-LTER Derived Datasets",2002-11-27,2.548011426
"PAL-LTER Derived Datasets",2002-11-27,2.802812569
"PAL-LTER Derived Datasets",2002-12-10,0.24088768
"PAL-LTER Derived Datasets",2002-12-10,0.224159369
"PAL-LTER Derived Datasets",2002-12-12,0.502604793
"PAL-LTER Derived Datasets",2002-12-16,1.487773157
"PAL-LTER Derived Datasets",2002-12-19,1.814154082
"PAL-LTER Derived Datasets",2002-12-23,0.828715749
"PAL-LTER Derived Datasets",2002-12-27,1.409469306
"PAL-LTER Derived Datasets",2002-12-31,1.448621231
"PAL-LTER Derived Datasets",2003-01-06,1.800988558
"PAL-LTER Derived Datasets",2003-01-07,2.713632169
"PAL-LTER Derived Datasets",2003-01-07,2.891992969
"PAL-LTER Derived Datasets",2003-01-17,0.752495037
"PAL-LTER Derived Datasets",2003-01-25,0.25951488
"PAL-LTER Derived Datasets",2003-01-25,0.282301553
"PAL-LTER Derived Datasets",2003-02-02,0.501306793
"PAL-LTER Derived Datasets",2003-02-02,0.501306793
"PAL-LTER Derived Datasets",2003-02-10,1.312225884
"PAL-LTER Derived Datasets",2003-02-10,1.184825313
"PAL-LTER Derived Datasets",2003-02-17,0.455733448
"PAL-LTER Derived Datasets",2003-02-17,0.478520121
"PAL-LTER Derived Datasets",2003-03-04,0.196055806
"PAL-LTER Derived Datasets",2003-03-04,0.189364482
"PAL-LTER Derived Datasets",2003-03-11,0.272336905
"PAL-LTER Derived Datasets",2003-03-11,0.249586402
"PAL-LTER Derived Datasets",2003-03-21,0.697348868
"PAL-LTER Derived Datasets",2003-03-21,0.439535049
"PAL-LTER Derived Datasets",2003-03-28,0.341555361
"PAL-LTER Derived Datasets",2003-03-28,0.359869321
"PAL-LTER Derived Datasets",2003-04-04,0.342471059
"PAL-LTER Derived Datasets",2003-04-04,0.348880945
"PAL-LTER Derived Datasets",2003-04-11,0.31408442
"PAL-LTER Derived Datasets",2003-04-11,0.305843138
"PAL-LTER Derived Datasets",2003-04-18,0.330566985
"PAL-LTER Derived Datasets",2003-04-18,0.330566985
"PAL-LTER Derived Datasets",2003-04-26,0.342471059
"PAL-LTER Derived Datasets",2003-04-26,0.336061173
"PAL-LTER Derived Datasets",2003-05-02,0.238081485
"PAL-LTER Derived Datasets",2003-05-02,0.231671599
"PAL-LTER Derived Datasets",2003-05-09,0.222514618
"PAL-LTER Derived Datasets",2003-05-09,0.220683222
"PAL-LTER Derived Datasets",2003-05-16,0.19412798
"PAL-LTER Derived Datasets",2003-05-16,0.197790772
"PAL-LTER Derived Datasets",2003-05-23,0.133691911
"PAL-LTER Derived Datasets",2003-05-23,0.120872138
"PAL-LTER Derived Datasets",2003-05-30,0.123619232
"PAL-LTER Derived Datasets",2003-05-30,0.107136668
"PAL-LTER Derived Datasets",2003-06-06,0.10622097
"PAL-LTER Derived Datasets",2003-06-06,0.135523307
"PAL-LTER Derived Datasets",2003-06-13,0.08332852
"PAL-LTER Derived Datasets",2003-06-13,0.095232594
"PAL-LTER Derived Datasets",2003-06-20,0.068677351
"PAL-LTER Derived Datasets",2003-06-20,0.069593049
"PAL-LTER Derived Datasets",2003-06-27,0.080581426
"PAL-LTER Derived Datasets",2003-06-27,0.086075614
"PAL-LTER Derived Datasets",2003-07-04,0.086075614
"PAL-LTER Derived Datasets",2003-07-04,0.086075614
"PAL-LTER Derived Datasets",2003-07-11,0.086991312
"PAL-LTER Derived Datasets",2003-07-11,0.042051337
"PAL-LTER Derived Datasets",2003-07-18,0.043840755
"PAL-LTER Derived Datasets",2003-07-18,0.042946046
"PAL-LTER Derived Datasets",2003-07-25,0.053110485
"PAL-LTER Derived Datasets",2003-07-25,0.05010372
"PAL-LTER Derived Datasets",2003-08-01,0.038204087
"PAL-LTER Derived Datasets",2003-08-01,0.074171539
"PAL-LTER Derived Datasets",2003-08-08,0.075087237
"PAL-LTER Derived Datasets",2003-08-08,0.055857579
"PAL-LTER Derived Datasets",2003-08-15,0.057688975
"PAL-LTER Derived Datasets",2003-08-15,0.086991312
"PAL-LTER Derived Datasets",2003-08-22,0.079665728
"PAL-LTER Derived Datasets",2003-08-22,0.090654104
"PAL-LTER Derived Datasets",2003-08-29,0.080581426
"PAL-LTER Derived Datasets",2003-08-29,0.070508747
"PAL-LTER Derived Datasets",2003-09-05,0.080581426
"PAL-LTER Derived Datasets",2003-09-05,0.088822708
"PAL-LTER Derived Datasets",2003-09-12,0.11079946
"PAL-LTER Derived Datasets",2003-09-12,0.11995644
"PAL-LTER Derived Datasets",2003-09-20,0.09706399
"PAL-LTER Derived Datasets",2003-09-20,0.160247153
"PAL-LTER Derived Datasets",2003-09-26,0.224346014
"PAL-LTER Derived Datasets",2003-09-26,0.192296584
"PAL-LTER Derived Datasets",2003-10-03,0.243575673
"PAL-LTER Derived Datasets",2003-10-03,0.657471177
"PAL-LTER Derived Datasets",2003-10-10,0.601613598
"PAL-LTER Derived Datasets",2003-10-10,0.631831632
"PAL-LTER Derived Datasets",2003-10-30,1.552402073
"PAL-LTER Derived Datasets",2003-11-04,0.975017442
"PAL-LTER Derived Datasets",2003-11-07,1.225580584
"PAL-LTER Derived Datasets",2003-11-10,1.316364331
"PAL-LTER Derived Datasets",2003-11-16,1.906458686
"PAL-LTER Derived Datasets",2003-11-19,0.438619351
"PAL-LTER Derived Datasets",2003-11-19,1.853479885
"PAL-LTER Derived Datasets",2003-11-20,1.561480448
"PAL-LTER Derived Datasets",2003-11-25,2.442082793
"PAL-LTER Derived Datasets",2003-11-28,1.316364331
"PAL-LTER Derived Datasets",2003-12-04,0.684929175
"PAL-LTER Derived Datasets",2003-12-08,0.549030529
"PAL-LTER Derived Datasets",2003-12-10,0.425799578
"PAL-LTER Derived Datasets",2003-12-10,1.844304242
"PAL-LTER Derived Datasets",2003-12-18,10.48775995
"PAL-LTER Derived Datasets",2003-12-18,4.523548209
"PAL-LTER Derived Datasets",2003-12-22,13.256969
"PAL-LTER Derived Datasets",2003-12-26,3.740290375
"PAL-LTER Derived Datasets",2003-12-30,1.870145187
"PAL-LTER Derived Datasets",2004-01-02,2.777982657
"PAL-LTER Derived Datasets",2004-01-07,6.263374443
"PAL-LTER Derived Datasets",2004-01-07,11.65306661
"PAL-LTER Derived Datasets",2004-01-14,6.263374443
"PAL-LTER Derived Datasets",2004-01-14,5.887938256
"PAL-LTER Derived Datasets",2004-01-23,0.79482588
"PAL-LTER Derived Datasets",2004-01-23,0.903793944
"PAL-LTER Derived Datasets",2004-02-06,5.599024206
"PAL-LTER Derived Datasets",2004-02-10,4.284992857
"PAL-LTER Derived Datasets",2004-02-16,7.945540824
"PAL-LTER Derived Datasets",2004-02-19,3.731212
"PAL-LTER Derived Datasets",2004-02-24,1.661342569
"PAL-LTER Derived Datasets",2004-02-26,1.307285956
"PAL-LTER Derived Datasets",2004-03-01,1.652264195
"PAL-LTER Derived Datasets",2004-03-04,1.842910063
"PAL-LTER Derived Datasets",2004-03-10,2.314985548
"PAL-LTER Derived Datasets",2004-03-15,2.115261304
"PAL-LTER Derived Datasets",2004-03-16,0.625421746
"PAL-LTER Derived Datasets",2004-03-16,1.550683666
"PAL-LTER Derived Datasets",2004-03-18,1.724891192
"PAL-LTER Derived Datasets",2004-03-22,2.433004419
"PAL-LTER Derived Datasets",2004-03-25,1.833831689
"PAL-LTER Derived Datasets",2004-03-30,2.759825908
"PAL-LTER Derived Datasets",2004-04-02,4.033612661
"PAL-LTER Derived Datasets",2004-04-16,0.217250173
"PAL-LTER Derived Datasets",2004-04-16,0.202193231
"PAL-LTER Derived Datasets",2004-04-23,0.22083516
"PAL-LTER Derived Datasets",2004-04-23,0.216533176
"PAL-LTER Derived Datasets",2004-04-29,0.203627225
"PAL-LTER Derived Datasets",2004-04-29,0.205778217
"PAL-LTER Derived Datasets",2004-05-06,0.169211356
"PAL-LTER Derived Datasets",2004-05-06,0.190004277
"PAL-LTER Derived Datasets",2004-05-14,0.128342512
"PAL-LTER Derived Datasets",2004-05-14,0.130493503
"PAL-LTER Derived Datasets",2004-05-20,0.11041758
"PAL-LTER Derived Datasets",2004-05-20,0.107549591
"PAL-LTER Derived Datasets",2004-05-27,0.103247607
"PAL-LTER Derived Datasets",2004-05-27,0.08675667
"PAL-LTER Derived Datasets",2004-06-03,0.129776506
"PAL-LTER Derived Datasets",2004-06-03,0.091058653
"PAL-LTER Derived Datasets",2004-06-10,0.104681602
"PAL-LTER Derived Datasets",2004-06-10,0.107549591
"PAL-LTER Derived Datasets",2004-06-18,0.067397744
"PAL-LTER Derived Datasets",2004-06-18,0.066680746
"PAL-LTER Derived Datasets",2004-06-24,0.060227771
"PAL-LTER Derived Datasets",2004-06-24,0.055925787
"PAL-LTER Derived Datasets",2004-07-01,0.055925787
"PAL-LTER Derived Datasets",2004-07-01,0.053057798
"PAL-LTER Derived Datasets",2004-07-08,0.066680746
"PAL-LTER Derived Datasets",2004-07-08,0.053057798
"PAL-LTER Derived Datasets",2004-07-15,0.048755814
"PAL-LTER Derived Datasets",2004-07-15,0.055925787
"PAL-LTER Derived Datasets",2004-07-22,0.058076779
"PAL-LTER Derived Datasets",2004-07-22,0.061661765
"PAL-LTER Derived Datasets",2004-07-28,0.065246752
"PAL-LTER Derived Datasets",2004-07-28,0.062378763
"PAL-LTER Derived Datasets",2004-08-05,0.06309576
"PAL-LTER Derived Datasets",2004-08-05,0.06309576
"PAL-LTER Derived Datasets",2004-08-12,0.0788697
"PAL-LTER Derived Datasets",2004-08-12,0.078152703
"PAL-LTER Derived Datasets",2004-08-19,0.088907662
"PAL-LTER Derived Datasets",2004-08-19,0.105398599
"PAL-LTER Derived Datasets",2004-08-26,0.076718708
"PAL-LTER Derived Datasets",2004-08-26,0.075284714
"PAL-LTER Derived Datasets",2004-09-02,0.089624659
"PAL-LTER Derived Datasets",2004-09-02,0.107549591
"PAL-LTER Derived Datasets",2004-09-09,0.119738544
"PAL-LTER Derived Datasets",2004-09-09,0.108983585
"PAL-LTER Derived Datasets",2004-09-16,0.097511629
"PAL-LTER Derived Datasets",2004-09-16,0.129059509
"PAL-LTER Derived Datasets",2004-09-23,0.306157835
"PAL-LTER Derived Datasets",2004-09-23,0.293968881
"PAL-LTER Derived Datasets",2004-09-30,0.201476233
"PAL-LTER Derived Datasets",2004-09-30,0.195023258
